,region1
2020-01-09 18:00:00,0.335877751
2020-01-09 19:00:00,0.346139613
2020-01-09 20:00:00,0.454358479
2020-01-09 21:00:00,0.353706271
2020-01-09 22:00:00,0.246700641
2020-01-09 23:00:00,0.243970866
2020-01-10 00:00:00,0.253392801
2020-01-10 01:00:00,0.29521265
2020-01-10 02:00:00,0.299401
2020-01-10 03:00:00,0.240828302
2020-01-10 04:00:00,0.257316518
2020-01-10 05:00:00,0.286318626
2020-01-10 06:00:00,0.222415824
2020-01-10 07:00:00,0.219726472
2020-01-10 08:00:00,0.246245922
2020-01-10 09:00:00,0.22482853
2020-01-10 10:00:00,0.195589366
2020-01-10 11:00:00,0.165459712
2020-01-10 12:00:00,0.25235921
2020-01-10 13:00:00,0.267500295
2020-01-10 14:00:00,0.284024373
2020-01-10 15:00:00,0.354813402
2020-01-10 16:00:00,0.358532912
2020-01-10 17:00:00,0.265898175
2020-01-10 18:00:00,0.420654212
2020-01-10 19:00:00,0.378190893
2020-01-10 20:00:00,0.282562007
2020-01-10 21:00:00,0.244277706
2020-01-10 22:00:00,0.210496596
2020-01-10 23:00:00,0.247697744
2020-01-11 00:00:00,0.293751428
2020-01-11 01:00:00,0.31674258
2020-01-11 02:00:00,0.349486701
2020-01-11 03:00:00,0.273974118
2020-01-11 04:00:00,0.368158921
2020-01-11 05:00:00,0.308604203
2020-01-11 06:00:00,0.224882927
2020-01-11 07:00:00,0.219073205
2020-01-11 08:00:00,0.247112266
2020-01-11 09:00:00,0.270580944
2020-01-11 10:00:00,0.2501948
2020-01-11 11:00:00,0.293043327
2020-01-11 12:00:00,0.332875629
2020-01-11 13:00:00,0.295064665
2020-01-11 14:00:00,0.324053153
2020-01-11 15:00:00,0.400075056
2020-01-11 16:00:00,0.294105071
2020-01-11 17:00:00,0.345848931
2020-01-11 18:00:00,0.325974229
2020-01-11 19:00:00,0.364636032
2020-01-11 20:00:00,0.451361145
2020-01-11 21:00:00,0.470378247
2020-01-11 22:00:00,0.431545432
2020-01-11 23:00:00,0.366936587
2020-01-12 00:00:00,0.411219345
2020-01-12 01:00:00,0.397528494
2020-01-12 02:00:00,0.261270761
2020-01-12 03:00:00,0.161048496
2020-01-12 04:00:00,0.148610398
2020-01-12 05:00:00,0.119351619
2020-01-12 06:00:00,0.10259121
2020-01-12 07:00:00,0.107670028
2020-01-12 08:00:00,0.110158797
2020-01-12 09:00:00,0.068887219
2020-01-12 10:00:00,0.066076267
2020-01-12 11:00:00,0.112614968
2020-01-12 12:00:00,0.087242376
2020-01-12 13:00:00,0.059916098
2020-01-12 14:00:00,0.042534175
2020-01-12 15:00:00,0.028642221
2020-01-12 16:00:00,0.035810716
2020-01-12 17:00:00,0.070688523
2020-01-12 18:00:00,0.051330021
2020-01-12 19:00:00,0.036827021
2020-01-12 20:00:00,0.033472212
2020-01-12 21:00:00,0.037349763
2020-01-12 22:00:00,0.030311291
2020-01-12 23:00:00,0.028235756
2020-01-13 00:00:00,0.027092381
2020-01-13 01:00:00,0.03157591
2020-01-13 02:00:00,0.036897955
2020-01-13 03:00:00,0.028579602
2020-01-13 04:00:00,0.012897534
2020-01-13 05:00:00,0.002554671
2020-01-13 06:00:00,0.005728118
2020-01-13 07:00:00,0.007241084
2020-01-13 08:00:00,0.0042777
2020-01-13 09:00:00,0.008754349
2020-01-13 10:00:00,0.015809723
2020-01-13 11:00:00,7.58E-05
2020-01-13 12:00:00,0
2020-01-13 13:00:00,0
2020-01-13 14:00:00,0
2020-01-13 15:00:00,0.000820254
2020-01-13 16:00:00,5.59E-05
2020-01-13 17:00:00,0.002852764
2020-01-13 18:00:00,0.004512863
2020-01-13 19:00:00,0.002610988
2020-01-13 20:00:00,0.00084617
2020-01-13 21:00:00,0.005751102
2020-01-13 22:00:00,0.009011893
2020-01-13 23:00:00,0.006306223
2020-01-14 00:00:00,0.004942762
2020-01-14 01:00:00,0.010049312
2020-01-14 02:00:00,0.010776393
2020-01-14 03:00:00,0.002981585
2020-01-14 04:00:00,0.009076203
2020-01-14 05:00:00,0.004673998
2020-01-14 06:00:00,0
2020-01-14 07:00:00,0
2020-01-14 08:00:00,0
2020-01-14 09:00:00,0
2020-01-14 10:00:00,0.007446937
2020-01-14 11:00:00,0.020045726
2020-01-14 12:00:00,0.005841078
2020-01-14 13:00:00,0.00E+00
2020-01-14 14:00:00,0
2020-01-14 15:00:00,0
2020-01-14 16:00:00,0
2020-01-14 17:00:00,0
2020-01-14 18:00:00,0
2020-01-14 19:00:00,0
2020-01-14 20:00:00,0
2020-01-14 21:00:00,0
2020-01-14 22:00:00,0
2020-01-14 23:00:00,0
2020-01-15 00:00:00,0
2020-01-15 01:00:00,0
2020-01-15 02:00:00,0
2020-01-15 03:00:00,0
2020-01-15 04:00:00,0
2020-01-15 05:00:00,0
2020-01-15 06:00:00,0
2020-01-15 07:00:00,0
2020-01-15 08:00:00,0
2020-01-15 09:00:00,0
2020-01-15 10:00:00,0
2020-01-15 11:00:00,0
2020-01-15 12:00:00,0.001913615
2020-01-15 13:00:00,0.002708733
2020-01-15 14:00:00,0.003638725
2020-01-15 15:00:00,1.37E-05
2020-01-15 16:00:00,0
2020-01-15 17:00:00,0
2020-01-15 18:00:00,0
2020-01-15 19:00:00,0
2020-01-15 20:00:00,0
2020-01-15 21:00:00,0
2020-01-15 22:00:00,0
2020-01-15 23:00:00,0
2020-01-16 00:00:00,0
2020-01-16 01:00:00,0
2020-01-16 02:00:00,0
2020-01-16 03:00:00,0
2020-01-16 04:00:00,0
2020-01-16 05:00:00,0
2020-01-16 06:00:00,0
